timestamp_utc,symbol,action,price,score,label,reason,price_1h_later,price_1d_later,price_3d_later,return_1h_pct,return_1d_pct,return_3d_pct
2026-05-03T16:51:11.567659+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,"premium_discount=-0.007136854156694112, imbalance=-0.00738110896413413, spread=0.7905419841891701",280.13,277.19,298.43,0.0,-1.0495127262342476,6.532681255131551
2026-05-03T16:51:12.207292+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"premium_discount=1.3909897472656372, imbalance=-0.8495958870852637, spread=0.9891592146675274",201.18,198.59,223.11,0.0,-1.2874043145441911,10.900685952878025
2026-05-03T16:51:12.735797+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"premium_discount=4.505195354760005, imbalance=None, spread=9.72978526661872",408.26,391.97,418.25,0.0,-3.9901043452701614,2.446970068093864
2026-05-03T16:51:13.195481+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"premium_discount=1.749050701688562, imbalance=None, spread=3.9647256030901525",421.76,414.88,412.09708,0.0,-1.631259484066767,-2.291094461305004
2026-05-03T16:51:59.327443+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,"premium_discount=-0.007136854156694112, imbalance=-0.00738110896413413, spread=0.7905419841891701",280.13,277.19,298.43,0.0,-1.0495127262342476,6.532681255131551
2026-05-03T16:51:59.772013+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"premium_discount=1.3909897472656372, imbalance=-0.8495958870852637, spread=0.9891592146675274",201.18,198.59,223.11,0.0,-1.2874043145441911,10.900685952878025
2026-05-03T16:52:00.222637+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"premium_discount=4.505195354760005, imbalance=None, spread=9.670544128598198",408.26,391.97,418.25,0.0,-3.9901043452701614,2.446970068093864
2026-05-03T16:52:00.632416+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"premium_discount=1.749050701688562, imbalance=None, spread=3.9647256030901525",421.76,414.88,412.09708,0.0,-1.631259484066767,-2.291094461305004
2026-05-03T17:18:12.354237+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,"premium_discount=-0.007136854156694112, imbalance=-0.009075673693485846, spread=0.8673088543703115",277.19,277.19,298.43,-1.0495127262342476,-1.0495127262342476,6.532681255131551
2026-05-03T17:18:12.799721+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"premium_discount=1.3909897472656372, imbalance=-0.8397632728830361, spread=0.743457326048454",198.59,198.59,223.11,-1.2874043145441911,-1.2874043145441911,10.900685952878025
2026-05-03T17:18:13.208041+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"premium_discount=4.505195354760005, imbalance=None, spread=9.163535642383588",391.97,391.97,418.25,-3.9901043452701614,-3.9901043452701614,2.446970068093864
2026-05-03T17:18:13.671428+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"premium_discount=1.749050701688562, imbalance=None, spread=3.9598668707334146",414.88,414.88,412.09708,-1.631259484066767,-1.631259484066767,-2.291094461305004
2026-05-03T17:18:14.119067+00:00,AMZNx/USD,HOLD,262.35,-55,NEGATIVE WATCH,"premium_discount=-2.2322413429372143, imbalance=None, spread=4.610343139101287",271.4,271.4,264.26,3.449590242043054,3.449590242043054,0.728035067657697
2026-05-03T17:41:01.494550+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,277.19,277.19,298.43,-1.0495127262342476,-1.0495127262342476,6.532681255131551
2026-05-03T17:41:01.918289+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",198.59,198.59,223.11,-1.2874043145441911,-1.2874043145441911,10.900685952878025
2026-05-03T17:41:02.379964+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",391.97,391.97,418.25,-3.9901043452701614,-3.9901043452701614,2.446970068093864
2026-05-03T17:41:02.771391+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",414.88,414.88,412.09708,-1.631259484066767,-1.631259484066767,-2.291094461305004
2026-05-03T17:41:03.154171+00:00,AMZNx/USD,HOLD,262.35,-55,NEGATIVE WATCH,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",271.4,271.4,264.26,3.449590242043054,3.449590242043054,0.728035067657697
2026-05-03T17:46:40.255304+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,277.19,277.19,298.43,-1.0495127262342476,-1.0495127262342476,6.532681255131551
